year,topic,count
1811,Meteorological-observation,1
1812,Advertisement,1
1812,Article,16
1812,Astronomical Observation,2
1812,Errata,1
1812,Experiment,3
1812,Letter,1
1812,Meteorological-observation,1
1813,Appendix,1
1813,Article,19
1813,Astronomical Observation,3
1813,Catalogue,1
1813,Errata,1
1813,Experiment,3
1813,Letter,6
1813,Meteorological-observation,2
1814,Article,17
1814,Astronomical Observation,1
1814,Corrigenda,1
1814,Experiment,5
1814,Lecture,1
1814,Letter,7
1814,Meteorological-observation,2
1815,Article,14
1815,Astronomical Observation,2
1815,Corrigenda,1
1815,Experiment,3
1815,Letter,5
1815,Meteorological-observation,1
1816,Advertisement,1
1816,Appendix,1
1816,Article,14
1816,Errata,1
1816,Experiment,4
1816,Letter,6
1816,Meteorological-observation,1
1817,Advertisement,1
1817,Article,20
1817,Astronomical Observation,3
1817,Experiment,2
1817,Letter,3
1817,Meteorological-observation,1
1818,Article,14
1818,Astronomical Observation,3
1818,Errata,1
1818,Experiment,3
1818,Lecture,2
1818,Letter,5
1818,Meteorological-observation,1
1819,Advertisement,1
1819,Article,12
1819,Errata,1
1819,Lecture,1
1819,Letter,4
1819,Magnetical-observation,2
1819,Meteorological-observation,4
1820,Advertisement,1
1820,Article,16
1820,Astronomical Observation,1
1820,Errata,1
1820,Lecture,2
1820,Letter,3
1820,Meteorological-observation,1
1821,Advertisement,1
1821,Article,16
1821,Astronomical Observation,2
1821,Experiment,5
1821,Lecture,2
1821,Letter,4
1821,Meteorological-observation,1
1822,Abstract,1
1822,Advertisement,1
1822,Article,23
1822,Errata,1
1822,Experiment,3
1822,Lecture,2
1822,Letter,4
1822,Magnetical-observation,1
1822,Meteorological-observation,1
1823,Advertisement,1
1823,Appendix,1
1823,Article,19
1823,Astronomical Observation,1
1823,Corrigenda,1
1823,Experiment,3
1823,Lecture,1
1823,Letter,4
1823,Magnetical-observation,2
1823,Meteorological-observation,1
1824,Advertisement,1
1824,Article,14
1824,Astronomical Observation,3
1824,Errata,1
1824,Experiment,3
1824,Lecture,2
1824,Letter,4
1824,Meteorological-observation,1
1825,Advertisement,1
1825,Article,17
1825,Astronomical Observation,1
1825,Errata,2
1825,Experiment,1
1825,Lecture,1
1825,Letter,4
1825,Meteorological-observation,1
1826,Advertisement,1
1826,Article,32
1826,Astronomical Observation,5
1826,Errata,1
1826,Experiment,3
1826,Lecture,2
1826,Letter,3
1826,Magnetical-observation,1
1826,Meteorological-observation,1
1827,Advertisement,1
1827,Article,18
1827,Astronomical Observation,1
1827,Errata,3
1827,Experiment,2
1827,Lecture,1
1827,Magnetical-observation,1
1827,Meteorological-observation,1
1828,Abstract,1
1828,Advertisement,1
1828,Article,12
1828,Astronomical Observation,1
1828,Errata,1
1828,Experiment,5
1828,Letter,1
1828,Meteorological-observation,3
1829,Advertisement,1
1829,Article,23
1829,Astronomical Observation,1
1829,Experiment,5
1829,Lecture,1
1829,Meteorological-observation,2
1830,Article,22
1830,Errata,1
1830,Experiment,3
1830,Lecture,1
1830,Meteorological-observation,1
1831,Article,24
1831,Astronomical Observation,1
1831,Errata,1
1831,Experiment,1
1831,Magnetical-observation,1
1831,Meteorological-observation,2
1832,Advertisement,1
1832,Article,21
1832,Experiment,4
1832,Magnetical-observation,1
1832,Meteorological-observation,2
1833,Article,21
1833,Astronomical Observation,1
1833,Errata,2
1833,Experiment,5
1833,Lecture,1
1833,Meteorological-observation,2
1834,Advertisement,1
1834,Article,23
1834,Experiment,4
1834,Letter,1
1834,Magnetical-observation,1
1834,Meteorological-observation,2
1835,Article,16
1835,Astronomical Observation,1
1835,Errata,1
1835,Experiment,2
1835,Lecture,1
1835,Meteorological-observation,2
1836,Article,22
1836,Corrigenda,1
1836,Lecture,1
1836,Letter,3
1836,Meteorological-observation,2
1837,Article,23
1837,Errata,1
1837,Letter,1
1837,Meteorological-observation,1
1838,Advertisement,1
1838,Article,10
1838,Experiment,7
1838,Lecture,1
1838,Letter,1
1838,Magnetical-observation,1
1838,Meteorological-observation,2
1839,Article,15
1839,Experiment,2
1839,Lecture,1
1839,Letter,3
